top - 19:19:17 up 35 min,  2 users,  load average: 0,14, 0,74, 0,80
Tareas: 271 total,   1 ejecutar,  269 hibernar,    0 detener,    1 zombie
%Cpu(s):  4,0 us,  4,0 sy,  0,0 ni, 92,0 id,  0,0 wa,  0,0 hi,  0,0 si,  0,0 st 
MiB Mem :   3902,1 total,    152,8 libre,   2359,5 usado,   1773,9 búf/caché    
MiB Intercambio:      0,0 total,      0,0 libre,      0,0 usado.   1542,6 dispon

    PID USUARIO   PR  NI    VIRT    RES    SHR S  %CPU  %MEM     HORA+ ORDEN
   2007 dani      20   0  308960   7288   6508 S   0,0   0,2   0:00.00 gvfs-gp+
   2012 dani      20   0  390124   8964   7684 S   0,0   0,2   0:00.14 gvfs-af+
   2021 dani      20   0  308008   6792   6132 S   0,0   0,2   0:00.00 gvfs-mt+
   2028 dani      20   0  827916  31372  27044 S   0,0   0,8   0:00.04 evoluti+
   2032 dani      20   0  307924   6916   6268 S   0,0   0,2   0:00.00 gvfs-go+
   2052 dani      20   0  169412   7796   6996 S   0,0   0,2   0:00.20 ibus-en+
   2097 dani      20   0  704488  20768  16744 S   0,0   0,5   0:00.13 xdg-des+
   2099 dani      39  19  735036  32088  18988 S   0,0   0,8   0:00.18 localse+
   2105 dani      20   0  477592  77580  63344 S   0,0   1,9   0:00.10 gsd-xse+
   2111 dani      20   0  539948   7512   6780 S   0,0   0,2   0:00.01 xdg-doc+
   2125 root      20   0    2580   2016   1900 S   0,0   0,1   0:00.00 fusermo+
   2129 dani      20   0  525080  40080  31112 S   0,0   1,0   0:00.15 xdg-des+
   2151 dani      20   0  178376  13200  11700 S   0,0   0,3   0:00.00 ibus-x11
   2156 dani      20   0 1418244 128076  81548 S   0,0   3,2   0:00.13 mutter-+
   2193 dani      20   0  409672  23980  19164 S   0,0   0,6   0:00.05 xdg-des+
   2213 root      20   0  366740  42892  36396 S   0,0   1,1   0:00.33 fwupd
   2488 dani      20   0 2131392 258964 115640 S   0,0   6,5   0:07.07 gnome-t+
   2540 dani      20   0  548836  51396  39700 S   0,0   1,3   0:03.38 gnome-t+
   2547 dani      20   0    8704   5600   3524 S   0,0   0,1   0:00.01 bash
   2559 dani      20   0    2576   1872   1736 S   0,0   0,0   0:00.00 nc
   2566 dani      20   0   20804   3100   2644 S   0,0   0,1   0:00.00 crashhe+
   2628 dani      20   0  230876  46880  37352 S   0,0   1,2   0:00.05 Socket +
   2647 dani      20   0 2503596 148020  99492 S   0,0   3,7   0:05.03 Privile+
   2654 dani      20   0  423240  56828  44936 S   0,0   1,4   0:03.07 RDD Pro+
   2704 dani      20   0 2604544 199424 100652 S   0,0   5,0   0:25.25 Isolate+
   2726 dani      20   0 2463572 101240  79732 S   0,0   2,5   0:00.67 WebExte+
   2771 dani      20   0  376896  63784  47376 S   0,0   1,6   0:00.08 Utility+
   2785 dani      20   0 2677724 233860 132852 S   0,0   5,9   0:04.98 Isolate+
   2954 dani      20   0  169044   6868   6240 S   0,0   0,2   0:00.01 gvfsd-m+
   3000 dani      20   0  118480   9140   4916 S   0,0   0,2   0:00.59 speech-+
