
Active Connections

  Proto  Local Address          Foreign Address        State           PID
  TCP    192.168.122.58:50283   144.2.15.21:443        ESTABLISHED     6856
  TCP    192.168.122.58:50284   23.46.85.197:443       ESTABLISHED     6856
  TCP    192.168.122.58:50286   216.239.34.36:443      TIME_WAIT       0
  TCP    192.168.122.58:50287   74.125.133.154:443     TIME_WAIT       0
  TCP    192.168.122.58:50288   74.125.133.154:443     TIME_WAIT       0
  TCP    192.168.122.58:50290   2.17.112.208:443       ESTABLISHED     6856
  TCP    192.168.122.58:50293   67.220.228.200:443     ESTABLISHED     6856
  TCP    192.168.122.58:50297   185.93.3.244:443       ESTABLISHED     6856
  TCP    192.168.122.58:50299   23.46.85.197:443       ESTABLISHED     6856
  TCP    192.168.122.58:50300   144.2.15.21:443        ESTABLISHED     6856
  TCP    192.168.122.58:50301   144.2.15.21:443        ESTABLISHED     6856
  TCP    192.168.122.58:50302   185.221.85.3:443       TIME_WAIT       0
  TCP    192.168.122.58:50308   67.220.228.200:443     TIME_WAIT       0
  TCP    192.168.122.58:50309   142.250.184.6:443      TIME_WAIT       0
  TCP    192.168.122.58:50318   142.250.184.166:443    TIME_WAIT       0
  TCP    192.168.122.58:50319   142.250.184.166:443    TIME_WAIT       0
  TCP    192.168.122.58:50321   2.22.146.160:443       ESTABLISHED     6856
  TCP    192.168.122.58:50327   67.220.228.200:443     TIME_WAIT       0
  TCP    192.168.122.58:50328   67.220.228.200:443     ESTABLISHED     6856
  TCP    192.168.122.58:50329   185.221.85.3:443       ESTABLISHED     6856
  TCP    192.168.122.58:50330   185.221.85.3:443       ESTABLISHED     6856
  TCP    192.168.122.58:50331   185.221.85.3:443       TIME_WAIT       0
  TCP    192.168.122.58:50332   172.217.17.2:443       TIME_WAIT       0
  TCP    192.168.122.58:50333   151.101.133.44:443     ESTABLISHED     6856
  TCP    192.168.122.58:50338   185.93.3.244:443       ESTABLISHED     6856
  TCP    192.168.122.58:50340   185.93.3.244:443       TIME_WAIT       0
  TCP    [::]:22                [::]:0                 LISTENING       2896
  TCP    [::]:135               [::]:0                 LISTENING       992
  TCP    [::]:445               [::]:0                 LISTENING       4
  TCP    [::]:49664             [::]:0                 LISTENING       772
  TCP    [::]:49665             [::]:0                 LISTENING       612
